names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ptprk,-1.0833427,-0.14086892,0.2786563742099536,0.4471005799022525,1.0,1.0
Plk4,-1.0867983,0.58757776,0.2771259570926631,0.4447876053882242,1.0,1.0
Cdc6,-1.090417,,0.2755294748066006,0.442367078538115,1.0,1.0
Gpa33,-1.0913062,-0.02193385,0.2751381829024504,0.4418805722199765,1.0,1.0
Cep290,-1.0917479,-1.728115,0.27494395038622577,0.44171033877838456,1.0,1.0
Tbpl1,-1.1060776,8.682632,0.26869297946423976,0.4318064382658055,1.0,1.0
Rita1,-1.1089685,0.7710951,0.26744375490296235,0.4299368776635291,1.0,1.0
Sass6,-1.1108278,0.9425298,0.26664246472214503,0.4287864370058009,1.0,1.0
Tmem98,-1.1147474,-0.20608748,0.2649586626421385,0.42635264068998563,1.0,1.0
Pde10a,-1.1508427,,0.24979696790792316,0.4037725609774179,1.0,1.0
Ppp1r1b,-1.1509063,0.07372634,0.2497707970549825,0.4037725609774179,1.0,1.0
Tlcd1,-1.1518402,-0.0473885,0.24938674225996682,0.40336996179431145,1.0,1.0
Klf11,-1.1590632,-1.0359001,0.24643040791092286,0.3987170723988622,1.0,1.0
Rad51b,-1.1654804,,0.24382458225279036,0.39475609921004806,1.0,1.0
Nqo1,-1.1675465,0.35629615,0.24298973173031624,0.3935317363448603,1.0,1.0
Trp53bp1,-1.168171,-1.0530534,0.2427377527948743,0.393250870709107,1.0,1.0
Adgra3,-1.1688452,-0.13388436,0.24246599594725438,0.3929377713538218,1.0,1.0
Hkdc1,-1.1834046,0.023660684,0.23664886357297643,0.38400784798908266,1.0,1.0
Tyk2,-1.1845403,1.3715197,0.23619926729721252,0.3834025720135687,1.0,1.0
Fat1,-1.1968137,-0.12657891,0.23137916297049688,0.37606626293191797,1.0,1.0
Igsf9b,-1.2037969,0.21849465,0.22866808739411026,0.3719124076991562,1.0,1.0
Trpv6,-1.2175554,0.033585396,0.22339295018574246,0.36379476533175886,1.0,1.0
Ttc8,-1.222205,-0.39125043,0.2216300810944264,0.3610413882065403,1.0,1.0
Pafah1b3,-1.2222357,,0.22161849503600817,0.3610413882065403,1.0,1.0
Col4a2,-1.2300553,-0.32653147,0.21867639560013952,0.35669404899781637,1.0,1.0
Wfdc18,-1.2311763,-1.7378273,0.2182569347911193,0.3561258851252748,1.0,1.0
Jade1,-1.2320275,-0.84066623,0.21793879500886548,0.35572272833856555,1.0,1.0
Pcsk4,-1.2388774,1.1564755,0.21539089379417475,0.3516786739509585,1.0,1.0
Prmt1,-1.24066,0.8276443,0.2147313732226468,0.35071623306772265,1.0,1.0
Eci3,-1.2506146,,0.21107512362863312,0.3450823216475955,1.0,1.0
